,0,1
282,gradient_gldm_DependenceNonUniformityNormalized,0
283,gradient_gldm_DependenceVariance,0
284,gradient_gldm_GrayLevelNonUniformity,0
285,gradient_gldm_GrayLevelVariance,0
286,gradient_gldm_HighGrayLevelEmphasis,0
287,gradient_gldm_LargeDependenceEmphasis,0
288,gradient_gldm_LargeDependenceHighGrayLevelEmphasis,0
289,gradient_gldm_LargeDependenceLowGrayLevelEmphasis,0
290,gradient_gldm_LowGrayLevelEmphasis,0
291,gradient_gldm_SmallDependenceEmphasis,0
292,gradient_gldm_SmallDependenceHighGrayLevelEmphasis,0
293,gradient_gldm_SmallDependenceLowGrayLevelEmphasis,0
294,lbp-2D_firstorder_10Percentile,0
295,lbp-2D_firstorder_90Percentile,0
296,lbp-2D_firstorder_Energy,0
297,lbp-2D_firstorder_Entropy,0
298,lbp-2D_firstorder_InterquartileRange,0
299,lbp-2D_firstorder_Kurtosis,0
300,lbp-2D_firstorder_Maximum,0
301,lbp-2D_firstorder_MeanAbsoluteDeviation,0
302,lbp-2D_firstorder_Mean,0
303,lbp-2D_firstorder_Median,0
304,lbp-2D_firstorder_Minimum,0
305,lbp-2D_firstorder_Range,0
306,lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0
307,lbp-2D_firstorder_RootMeanSquared,0
308,lbp-2D_firstorder_Skewness,0
309,lbp-2D_firstorder_TotalEnergy,0
310,lbp-2D_firstorder_Uniformity,0
311,lbp-2D_firstorder_Variance,0
312,lbp-2D_glcm_Autocorrelation,0
313,lbp-2D_glcm_JointAverage,0
314,lbp-2D_glcm_ClusterProminence,0
315,lbp-2D_glcm_ClusterShade,0
316,lbp-2D_glcm_ClusterTendency,0
317,lbp-2D_glcm_Contrast,0
318,lbp-2D_glcm_Correlation,0
319,lbp-2D_glcm_DifferenceAverage,0
320,lbp-2D_glcm_DifferenceEntropy,0
321,lbp-2D_glcm_DifferenceVariance,0
322,lbp-2D_glcm_JointEnergy,0
323,lbp-2D_glcm_JointEntropy,0
324,lbp-2D_glcm_Imc1,0
325,lbp-2D_glcm_Imc2,0
326,lbp-2D_glcm_Idm,0
327,lbp-2D_glcm_Idmn,0
328,lbp-2D_glcm_Id,0
329,lbp-2D_glcm_Idn,0
330,lbp-2D_glcm_InverseVariance,0
331,lbp-2D_glcm_MaximumProbability,0
332,lbp-2D_glcm_SumEntropy,0
333,lbp-2D_glcm_SumSquares,0
334,lbp-2D_glrlm_GrayLevelNonUniformity,0
335,lbp-2D_glrlm_GrayLevelNonUniformityNormalized,0
336,lbp-2D_glrlm_GrayLevelVariance,0
